X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-78.5577393,0.9475276,train,9.544972705297217E-4,29.56170473489789,0.3901808779454442
-78.76666667,0.3,train,0.010874483765775779,88.8664163182218,0.9964287623399826
-78.843108,0.05295,train,0.0035190508959894503,50.21825741492531,0.8385355724703786
-79.13557303,-0.959317154,train,0.0036643535378670343,50.9488642923172,0.8502461078378472
-78.85736,0.31026,train,0.014035431226487021,98.41503178434505,0.999305802903795
-78.83333333,0.15,train,0.004871242309351701,58.271989595759486,0.919872560365468
-78.8836813,0.0443573,train,0.0017364515854850777,35.65413007522327,0.5933404798133197
-78.71666667,0.966666667,train,3.31637168862748E-4,18.391716894415055,0.15789013466975999
-79.25,0.45,train,9.746221934944286E-4,29.789576898743164,0.39650712231196694
-78.349896,0.81665,train,4.0933004128525946E-4,20.503108123979,0.19111861497017868
-79.75,0.366,train,0.008703474484353118,75.93746654860321,0.9890003169835236
-79.7498,0.35878,train,0.009323047120551927,79.58216822971514,0.9920209302650064
-78.758,0.1289,train,0.005088351068512743,61.27674057695927,0.9283982953835405
-78.74874,0.11354,train,0.004310131931284342,54.11150034632879,0.892835017824837
-78.98333333,0.1,train,0.005078573209401248,60.76806210314392,0.92803459733073
-79.0559328,0.4547852,train,0.007697224167438461,72.64571169762786,0.9814721264799918
-78.849928,0.160629,train,0.0034261554583076745,48.48673043373909,0.8305732660603311
-79.713113,0.3356967,train,0.012247202791976592,95.75236919708571,0.9982465085564173
-79.713249,0.32875919,train,0.011597674701155107,94.52726540066747,0.9975448801298368
-79.733679,0.39641906,train,0.00593429427929804,65.11688464567166,0.9538094344127054
-79.707657,0.3508373,train,0.011058113053543595,91.07686694479128,0.9967529047360006
-79.706552,0.35351446,train,0.010626895848061655,86.70443734796291,0.9959399100874063
-79.703165,0.35109897,train,0.010746322228374459,87.77929419877773,0.9961835456072148
-79.703479,0.35269093,train,0.010504632336075835,85.64206481474253,0.995674366792267
-79.21164,0.52100524,train,0.006389771780638538,67.61268142037568,0.9635201410839205
-79.202235,0.48917181,train,0.009177022883201038,77.73223285615796,0.9913937613239063
-79.188274,0.49823791,train,0.010192131567091813,83.55318141046259,0.9949140217078185
-79.66992,0.36833377,train,0.009181910583610745,78.64988639305915,0.9914155304650171
-79.712566,0.3288586,train,0.011391371642328287,92.21586257547486,0.9972678854577326
-79.788261,0.40246048,train,0.0041352629345452665,53.264511765695204,0.8826710422464857
-79.781752,0.4297038,train,0.004993702470847878,59.75851738202881,0.9247991113686973
-79.757435,0.45321729,train,0.00455292423063116,55.88679365668871,0.9055036143105268
-79.754614,0.45214043,train,0.004794843876797333,57.29822563338457,0.9166368953344639
-79.753239,0.45165175,train,0.005727641066926534,64.52343620985484,0.9485887361967881
-79.24601216,-1.308924596,train,0.0022937434231137996,41.023023120157276,0.6953377582103408
-78.887276,0.16697144,train,0.012591024137028582,97.01148484027891,0.9985326608899676
-78.88864,0.16806556,train,0.010150147199776699,82.53494204503376,0.994802163485882
-78.888721,0.168599,train,0.011519117274678737,93.36812611626276,0.997442879619574
-78.877882,0.16544248,train,0.011044570015956505,89.97081634001066,0.9967300377442349
-79.24587204,-1.316602006,train,0.0027438636156177153,45.01806274166014,0.7587184545168807
-77.2,2.67,train,3.272296462336157E-5,3.326197833511002,0.016813148616605433
-78.608,1.021,train,0.0010774792215403704,30.92222137429513,0.4278296848078348
-77.85,1.9,train,8.430703094956647E-5,6.9502487297980755,0.04274500040235918
-76.95,2.5333,train,5.532781006570721E-5,4.939180433404507,0.028262207205858814
-76.914948,2.519006,train,2.559643420759365E-5,2.7965131499248566,0.013175761701195388
-78.994853,0.122652,train,0.007372904307538675,71.13705646036469,0.9780815346357322
-78.065,1.333833,train,5.945464817721575E-4,24.78530669336221,0.26514111836873144
-78.782272,0.848474,train,1.9642347268985903E-4,13.132505891557239,0.09677263078477694
-79.8001,0.4667,train,0.0034277511598269647,48.82974424475101,0.8307132980430028
-78.787003,0.321968,train,0.003290971289358805,47.475817353500595,0.8182796234868673
-78.7685,0.0736,train,0.001142556011895257,31.59511193524027,0.4468021076951785
-78.921875,0.098107,train,0.010383108006036288,84.59138982449194,0.995393220927227
-78.831024,0.102997,train,0.0024096973124672107,42.43572631540222,0.7131039926778403
-78.822098,0.080681,train,0.00501576574984725,60.25994121137973,0.925653953705099
-76.37592,7.185228,train,1.1400186707394084E-4,8.85318345320344,0.057361547494280685
